"sim_idx","batch_idx","population_num","exp_num","model_ref","Accepted","integ_error","d1","d2","d3"
8,7,1,"2",1,True,"",0.0,2.9976021664879227e-15,1.1549993341519125
9,7,1,"2",2,True,"",0.0,8.881784197001252e-16,0.5003272530115626
0,8,1,"2",0,True,"",0.0,3.774758283725532e-15,0.5006688836625821
1,8,1,"2",0,True,"",0.0,7.327471962526033e-15,0.5000581111086877
2,8,1,"2",1,True,"",0.0,2.6645352591003757e-15,0.5004649621181554
3,8,1,"2",0,True,"",0.0,5.551115123125783e-16,1.7567334231576872
4,8,1,"2",2,True,"",0.0,7.993605777301127e-15,0.5004623286975413
5,8,1,"2",1,True,"",0.0,7.327471962526033e-15,0.5001841442300627
6,8,1,"2",0,True,"",0.0,3.774758283725532e-15,0.714742892545515
7,8,1,"2",1,True,"",0.0,2.886579864025407e-15,0.5000833066165411
8,8,1,"2",1,True,"",0.0,7.327471962526033e-15,0.5001260291667705
9,8,1,"2",0,True,"",0.0,1.1102230246251565e-15,0.538966824552547
0,9,1,"2",0,True,"",0.0,4.6629367034256575e-15,0.5819879046792709
1,9,1,"2",2,True,"",0.0,5.10702591327572e-15,0.5001203548773
2,9,1,"2",0,True,"",0.0,4.884981308350689e-15,0.5002695413981442
3,9,1,"2",1,True,"",0.0,7.771561172376096e-16,2.0160897260260486
4,9,1,"2",1,True,"",0.0,5.995204332975845e-15,0.5005851453603318
5,9,1,"2",1,True,"",0.0,5.995204332975845e-15,0.5000638508315386
6,9,1,"2",0,True,"",0.0,5.329070518200751e-15,0.500329104891228
7,9,1,"2",0,True,"",0.0,2.886579864025407e-15,0.5001408469208706
8,9,1,"2",0,True,"",0.0,2.220446049250313e-15,0.5001088718583846
9,9,1,"2",1,True,"",0.0,9.103828801926284e-15,0.5042327627649772
0,10,1,"2",0,True,"",0.0,4.884981308350689e-15,0.5001579971656362
1,10,1,"2",1,True,"",0.0,3.9968028886505635e-15,0.5005920064262669
2,10,1,"2",1,True,"",0.0,8.659739592076221e-15,0.5005102123937021
3,10,1,"2",1,True,"",0.0,4.884981308350689e-15,0.500169545652829
4,10,1,"2",2,True,"",0.0,4.218847493575595e-15,0.5002056107406123
5,10,1,"2",1,True,"",0.0,3.3306690738754696e-15,0.6609921389982387
6,10,1,"2",2,True,"",0.0,4.440892098500626e-15,0.5001318920458201
7,10,1,"2",0,True,"",0.0,4.884981308350689e-15,0.5001864093693072
8,10,1,"2",2,True,"",0.0,8.215650382226158e-15,0.5004382910497235
9,10,1,"2",0,True,"",0.0,9.769962616701378e-15,0.5002809042861489
